2024-02-07 19:37:23,960 INFO    StreamThr :9812 [internal.py:wandb_internal():86] W&B internal server running at pid: 9812, started at: 2024-02-07 19:37:23.960673
2024-02-07 19:37:23,961 DEBUG   HandlerThread:9812 [handler.py:handle_request():146] handle_request: status
2024-02-07 19:37:23,964 INFO    WriterThread:9812 [datastore.py:open_for_write():85] open: F:\Everything\PPO-based-Autonomous-Navigation-for-Quadcopters\wandb\run-20240207_193723-asr6y0wy\run-asr6y0wy.wandb
2024-02-07 19:37:23,964 DEBUG   SenderThread:9812 [sender.py:send():382] send: header
2024-02-07 19:37:23,983 DEBUG   SenderThread:9812 [sender.py:send():382] send: run
2024-02-07 19:37:24,261 INFO    SenderThread:9812 [dir_watcher.py:__init__():211] watching files in: F:\Everything\PPO-based-Autonomous-Navigation-for-Quadcopters\wandb\run-20240207_193723-asr6y0wy\files
2024-02-07 19:37:24,261 INFO    SenderThread:9812 [sender.py:_start_run_threads():1136] run started: asr6y0wy with start time 1707356243.961672
2024-02-07 19:37:24,266 DEBUG   HandlerThread:9812 [handler.py:handle_request():146] handle_request: check_version
2024-02-07 19:37:24,266 DEBUG   SenderThread:9812 [sender.py:send_request():409] send_request: check_version
2024-02-07 19:37:24,485 DEBUG   HandlerThread:9812 [handler.py:handle_request():146] handle_request: run_start
2024-02-07 19:37:24,502 DEBUG   HandlerThread:9812 [system_info.py:__init__():32] System info init
2024-02-07 19:37:24,502 DEBUG   HandlerThread:9812 [system_info.py:__init__():47] System info init done
2024-02-07 19:37:24,502 INFO    HandlerThread:9812 [system_monitor.py:start():194] Starting system monitor
2024-02-07 19:37:24,502 INFO    SystemMonitor:9812 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-07 19:37:24,502 INFO    HandlerThread:9812 [system_monitor.py:probe():214] Collecting system info
2024-02-07 19:37:24,505 INFO    SystemMonitor:9812 [interfaces.py:start():190] Started cpu monitoring
2024-02-07 19:37:24,505 INFO    SystemMonitor:9812 [interfaces.py:start():190] Started disk monitoring
2024-02-07 19:37:24,505 INFO    SystemMonitor:9812 [interfaces.py:start():190] Started gpu monitoring
2024-02-07 19:37:24,509 INFO    SystemMonitor:9812 [interfaces.py:start():190] Started memory monitoring
2024-02-07 19:37:24,514 INFO    SystemMonitor:9812 [interfaces.py:start():190] Started network monitoring
2024-02-07 19:37:24,532 DEBUG   HandlerThread:9812 [system_info.py:probe():196] Probing system
2024-02-07 19:37:24,533 DEBUG   HandlerThread:9812 [system_info.py:_probe_git():181] Probing git
2024-02-07 19:37:24,569 DEBUG   HandlerThread:9812 [system_info.py:_probe_git():189] Probing git done
