2024-01-15 13:05:54,055 INFO    StreamThr :26672 [internal.py:wandb_internal():86] W&B internal server running at pid: 26672, started at: 2024-01-15 13:05:54.054293
2024-01-15 13:05:54,056 DEBUG   HandlerThread:26672 [handler.py:handle_request():146] handle_request: status
2024-01-15 13:05:54,058 INFO    WriterThread:26672 [datastore.py:open_for_write():85] open: F:\Everything\New_drone\wandb\run-20240115_130553-2pt7hi0u\run-2pt7hi0u.wandb
2024-01-15 13:05:54,058 DEBUG   SenderThread:26672 [sender.py:send():382] send: header
2024-01-15 13:05:54,077 DEBUG   SenderThread:26672 [sender.py:send():382] send: run
2024-01-15 13:05:54,306 INFO    SenderThread:26672 [dir_watcher.py:__init__():211] watching files in: F:\Everything\New_drone\wandb\run-20240115_130553-2pt7hi0u\files
2024-01-15 13:05:54,306 INFO    SenderThread:26672 [sender.py:_start_run_threads():1136] run started: 2pt7hi0u with start time 1705345554.055293
2024-01-15 13:05:54,311 DEBUG   HandlerThread:26672 [handler.py:handle_request():146] handle_request: check_version
2024-01-15 13:05:54,312 DEBUG   SenderThread:26672 [sender.py:send_request():409] send_request: check_version
2024-01-15 13:05:54,559 DEBUG   HandlerThread:26672 [handler.py:handle_request():146] handle_request: run_start
2024-01-15 13:05:54,576 DEBUG   HandlerThread:26672 [system_info.py:__init__():32] System info init
2024-01-15 13:05:54,576 DEBUG   HandlerThread:26672 [system_info.py:__init__():47] System info init done
2024-01-15 13:05:54,576 INFO    HandlerThread:26672 [system_monitor.py:start():194] Starting system monitor
2024-01-15 13:05:54,576 INFO    SystemMonitor:26672 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-15 13:05:54,576 INFO    HandlerThread:26672 [system_monitor.py:probe():214] Collecting system info
2024-01-15 13:05:54,579 INFO    SystemMonitor:26672 [interfaces.py:start():190] Started cpu monitoring
2024-01-15 13:05:54,579 INFO    SystemMonitor:26672 [interfaces.py:start():190] Started disk monitoring
2024-01-15 13:05:54,580 INFO    SystemMonitor:26672 [interfaces.py:start():190] Started gpu monitoring
2024-01-15 13:05:54,585 INFO    SystemMonitor:26672 [interfaces.py:start():190] Started memory monitoring
2024-01-15 13:05:54,590 INFO    SystemMonitor:26672 [interfaces.py:start():190] Started network monitoring
2024-01-15 13:05:54,609 DEBUG   HandlerThread:26672 [system_info.py:probe():196] Probing system
2024-01-15 13:05:54,610 DEBUG   HandlerThread:26672 [system_info.py:_probe_git():181] Probing git
2024-01-15 13:05:54,648 DEBUG   HandlerThread:26672 [system_info.py:_probe_git():189] Probing git done
2024-01-15 13:05:54,649 DEBUG   HandlerThread:26672 [system_info.py:probe():244] Probing system done
